002002.SZ,鸿达兴业,2014-07-10,10.63,7.87,8.35,-0.25964252116650993,0.06099110546378647
002003.SZ,伟星股份,2016-06-15,13.06,13.19,15.48,0.009954058192955513,0.17361637604245647
002003.SZ,伟星股份,2013-06-14,8.9,8.8,8.12,-0.011235955056179735,-0.07727272727272744
002003.SZ,伟星股份,2006-06-27,9.53,9.69,11.31,0.01678908709338931,0.1671826625386998
002004.SZ,华邦健康,2013-06-18,13.85,14.45,15.8,0.04332129963898915,0.09342560553633228
002004.SZ,华邦健康,2015-08-05,11.58,13.36,9.77,0.15371329879101894,-0.2687125748502994
002007.SZ,华兰生物,2013-07-23,22.9,26.44,26.93,0.15458515283842808,0.018532526475037763
002008.SZ,大族激光,2012-10-10,8.19,8.6,7.8,0.050061050061050084,-0.09302325581395347
002008.SZ,大族激光,2012-10-10,8.19,8.6,7.8,0.050061050061050084,-0.09302325581395347
002010.SZ,传化智联,2017-09-02,14.94,15.02,14.55,0.005354752342704155,-0.03129161118508648
002010.SZ,传化智联,2016-03-29,15.4,15.8,16.33,0.025974025974025997,0.0335443037974682
002011.SZ,盾安环境,2010-01-19,16.15,20.0,20.0,0.23839009287925708,0.0
002014.SZ,永新股份,2006-08-31,7.96,7.83,8.56,-0.016331658291457274,0.0932311621966795
002014.SZ,永新股份,2006-08-31,7.96,7.83,8.56,-0.016331658291457274,0.0932311621966795
002017.SZ,东信和平,2013-12-05,14.09,15.67,15.4,0.11213626685592619,-0.017230376515634943
002021.SZ,中捷资源,2006-04-27,6.0,6.85,8.54,0.1416666666666666,0.24671532846715322
002022.SZ,科华生物,2015-06-06,36.5,53.25,28.39,0.4589041095890411,-0.4668544600938967
002028.SZ,思源电气,2012-09-04,12.69,13.1,13.11,0.03230890464933019,0.0007633587786259379
002029.SZ,七匹狼,2010-11-23,33.3,38.22,34.02,0.14774774774774782,-0.10989010989010978
002031.SZ,巨轮智能,2011-12-13,7.0,5.96,5.78,-0.14857142857142858,-0.030201342281879148
002032.SZ,苏泊尔,2013-10-12,12.72,14.0,14.13,0.10062893081761001,0.009285714285714342
002032.SZ,苏泊尔,2006-06-29,13.25,13.56,14.09,0.023396226415094378,0.03908554572271382
002032.SZ,苏泊尔,2012-06-14,15.9,13.4,12.48,-0.15723270440251572,-0.06865671641791044
002034.SZ,美欣达,2013-03-20,10.45,10.8,10.2,0.03349282296650732,-0.055555555555555684
002035.SZ,华帝股份,2016-04-18,17.23,20.49,20.3,0.18920487521764354,-0.009272816007808576
002038.SZ,双鹭药业,2006-04-28,10.18,13.6,14.43,0.33595284872298625,0.06102941176470589
002042.SZ,华孚时尚,2014-03-11,4.41,4.35,4.47,-0.01360544217687086,0.02758620689655175
002042.SZ,华孚时尚,2011-07-21,23.05,27.62,25.6,0.1982646420824295,-0.0731354091238233
002043.SZ,兔宝宝,2014-01-25,3.67,3.61,3.85,-0.01634877384196187,0.06648199445983385
002043.SZ,兔宝宝,2017-02-16,10.71,11.97,13.6,0.11764705882352938,0.13617376775271503
002045.SZ,国光电器,2006-06-29,8.56,8.9,8.11,0.03971962616822428,-0.08876404494382033
